prompt_id,split,category,source_row,field,n_tokens,distinct_tokens,repeated_4gram_fraction,top20_token_share,text_sha256
human-00000,human_response,brainstorming,11297,response,235,152,0.008621,0.370213,466eef4d828b9e0fbe76d9ba0ea60c9fa7877ed6cf5f2837980983f64c59ee7c
human-00001,human_response,classification,11621,response,147,69,0.055556,0.619048,ade9aea0d3fbf40af14d8395e18cf6f33e9bee6f32a384b9e5aab5f0676722ab
human-00002,human_response,brainstorming,1451,response,492,174,0.0409,0.46748,1ba45fbd3b0f8c88caa3972cc2e444c0a3b0f3025c20c06e5ec23d2cd992e6de
human-00003,human_response,general_qa,3657,response,137,74,0.014925,0.554745,26162d1cf57b5f856268c2871e951094d09b778693772ff4ad6bd1d768fabff0
human-00004,human_context,closed_qa,10167,context,260,129,0.058366,0.473077,5df9a77bd2cdb1e3673244dc887c455b8e6da1d0c1e5db5aaf30ab503384f2cd
human-00005,human_response,general_qa,1171,response,173,107,0.0,0.491329,a2bb87b71b2d9ea19d2a7bc31726f040970c141281d7a3bfccca4174a285dfce
human-00006,human_response,open_qa,6981,response,150,100,0.0,0.42,a18724b4afdf36c3f5a81750126ca78fb4422142de11b8933b90e6b087b76df0
human-00007,human_context,summarization,491,context,199,117,0.056122,0.462312,b00f5e1323df3ae2370a671c0d6fa512fb72fe214b6baca27c59cbf0e22b6d75
human-00008,human_context,information_extraction,2020,context,150,101,0.006803,0.46,5bdd3e610856e489970f0825a71d2ca2b96e67787da75f8a217263ff4446ad0d
human-00009,human_response,general_qa,5554,response,237,137,0.004274,0.451477,246c5fc2209590b018454940b32e4d204fba04317feff2fd93b954968f4023fc
human-00010,human_response,open_qa,320,response,158,99,0.006452,0.462025,9f52db4fd3e035489d2cde7b8a3cc300925ce0c76676cc07610690ce764a8617
human-00011,human_context,information_extraction,7676,context,516,234,0.050682,0.432171,b9e55715cde6cc9d127df11eb478d9a4d8a7a38324c36f9d199836e630a10911
human-00012,human_response,creative_writing,14925,response,255,143,0.0,0.443137,1b2d388f7d5add8a222dcfa22d42c6900cc96968b66740bbd7cbda78ddca7339
human-00013,human_response,summarization,13445,response,173,100,0.0,0.456647,e3eee3713fdf6ae51ec868797667be94037eb3a97cf3607a264bd7bed64a817a
human-00014,human_context,closed_qa,13310,context,241,155,0.021008,0.39834,cc66799b0cb65bfbc5626ddf3c5aa3c7a920845034c7681ac19bc56be306d110
human-00015,human_context,information_extraction,1258,context,281,185,0.010791,0.366548,b5345ef541f3fb6516d308c47576f8f468a4ab81463f0cb8d0c2fe4449878e13
human-00016,human_context,information_extraction,1314,context,185,103,0.016484,0.448649,039aded311f7f338e8d405b76f438e5693189b4663a640ac7aba672fbd2d5ae7
human-00017,human_response,open_qa,6509,response,223,140,0.013636,0.381166,989fe956def120c39206b66c57cd07c64c9245e48c2b0e01a547b9760303dfa4
human-00018,human_context,summarization,1223,context,2248,696,0.159911,0.528025,ef85ea0614159066eeea4e456167bf7ef895fc42709a93a050643abd7778797b
human-00019,human_context,information_extraction,1358,context,555,168,0.152174,0.518919,a8b9937ea502de00c54bae4bef12c8563df9061f42448fef8fca14b74decd5cc
human-00020,human_response,general_qa,1003,response,348,174,0.026087,0.442529,a4f321f0c58442ad77bc837f0dd979cdc4742cc0bad69f640579b1508c93230b
human-00021,human_context,information_extraction,2713,context,180,99,0.067797,0.477778,0a50a171118433a1ab7b7a985798ab6f5b7621423524d546246521f9a5e04fac
human-00022,human_response,summarization,7764,response,169,119,0.006024,0.414201,f3b8bfe62d14d7f1817d7c44bd275494f41e6d5c30ffa3432a31c04f0dbaaafc
human-00023,human_context,closed_qa,4906,context,169,115,0.012048,0.390533,edffc0d01e48d04b352ec3b8b7e244c8830fcb5d84e1102107661ba015e3f946
human-00024,human_context,closed_qa,8558,context,137,95,0.0,0.437956,9ad32e0025801e1c2c9120a6a757472d02be1bc69a34908c8c0aa0268908b330
human-00025,human_response,summarization,7494,response,604,306,0.034942,0.385762,41c63ea35759a63dc738968cc63a2ced6ead141c0cba2ca4633ec630523e5e05
human-00026,human_context,closed_qa,14612,context,308,139,0.045902,0.496753,856e5299eba183c211d0311c94e0d5e1f0e709df0fc4505dfe7b9f6865eea6d3
human-00027,human_response,closed_qa,13764,response,208,103,0.073171,0.480769,346133eb0224052ed85fa286b7207d369c9f580f8719745232a9704641d16418
human-00028,human_context,information_extraction,12767,context,149,84,0.0,0.57047,f10a8a7fd3ae1d1716dd134aa9af2d967dab0da89423b33160a14f5ec1fde0f1
human-00029,human_context,closed_qa,393,context,287,177,0.014085,0.369338,843bc0da86bcf629a69c39692edf98c4ffb9796f3bd2c847e74e0095e0206712
human-00030,human_context,information_extraction,11754,context,151,91,0.0,0.463576,58f2bd77a95d7156066f64a1b5ee67faa3fa3d5890888c517fa203488112dd8c
human-00031,human_response,open_qa,1672,response,249,129,0.00813,0.485944,5609be9eb56b7d425f0b0ea77db06591990d76fc43d5194b670f4a2025815f56
human-00032,human_response,brainstorming,12869,response,129,46,0.166667,0.79845,b80b55fe25a7b2f5b047eac58105b90a2910333d671c1499fe0f65446bafd3b4
human-00033,human_response,open_qa,9459,response,162,93,0.037736,0.450617,23d771f075c4e294f9785289ef8cf9398a7ae5add50962a99d475a21b37326ce
human-00034,human_context,closed_qa,6659,context,241,137,0.021008,0.456432,88b8ebe6bfad62f792d115f69ead28d0a16847e648a4afc1990f5e27763a1fc0
human-00035,human_response,summarization,3267,response,339,128,0.08631,0.59292,0002489da89bcd2efc159780e69db706737195afa12401c3dea79c682b03031c
human-00036,human_response,general_qa,10715,response,253,127,0.028,0.462451,0bde1eeade6ece106ea9f873844dbd14a07515a813dd7ca1d4ce0fbe798843be
human-00037,human_context,information_extraction,11678,context,148,82,0.041379,0.52027,e19929b12276ade9cf4a9bdabdf05923bd0fafe3f2d4f86fb3a48a5cdec251d8
human-00038,human_context,closed_qa,787,context,200,126,0.015228,0.4,c499b78775af1a48a39d7d59971b707ab1951b35ee3ce7735a76185ace9bd2d4
human-00039,human_context,information_extraction,228,context,345,160,0.035088,0.481159,d0b4349acbb72dc551e271824e3eb26f94cdc7eb59d66e094e32d8c411af9f7b
human-00040,human_context,information_extraction,12236,context,618,313,0.056911,0.401294,13436a2c0a5b19bfd553f6de1adf6d8c5bf78f32d22fa28827bc22c94a576da1
human-00041,human_response,brainstorming,4754,response,190,107,0.0,0.478947,24fc2cfdbcc53c2478a51f2a3c2aafd39a059603b3c4c2a29fc3566570909b0b
human-00042,human_context,information_extraction,10139,context,209,118,0.004854,0.464115,d5546d601a21f1a4c41bb165062b5f5a0c1529993b2dca0d0600d4d310e228f8
