population,key_id,length,n,exceed,fpr,ci_lo,ci_hi,p_k,p_lo,p_hi,mean_z,sd_z,mean_eligible
model,kgw-00,128,10000,623,0.0623,0.057640783579904056,0.06721607508348035,0.2656549889805251,0.26484380788163386,0.26646736250600217,0.38696189676875176,1.2319545531193439,113.8439
model,kgw-00,256,10000,887,0.0887,0.08319799003890213,0.09444288201781215,0.2652538552400469,0.2646588252020071,0.26584952842282683,0.5165550393226833,1.3581430338129892,211.3941
model,kgw-00,512,10000,1249,0.1249,0.11848016568395058,0.13153914779913936,0.2651241088223555,0.26466994618383693,0.26557864638736095,0.6719562393290586,1.4979962318699709,362.7784
model,kgw-01,128,10000,75,0.0075,0.005903663282242353,0.009392366965358603,0.22793140431766656,0.22716106820688142,0.22870312485790179,-0.5414352807721333,1.1011574081030606,113.8439
model,kgw-01,256,10000,70,0.007,0.005460789983071684,0.008835915517580858,0.2276444801439586,0.22707936921316835,0.22821033728038911,-0.7432843591181195,1.177949683696092,211.3941
model,kgw-01,512,10000,80,0.008,0.006348452063499645,0.009946938884486604,0.2272555367133214,0.2268243930449433,0.22768711576617662,-0.9830053844511998,1.2820367094486003,362.7784
model,kgw-02,128,10000,99,0.0099,0.00805330927892533,0.01203989854613168,0.2304040884052637,0.22963081910637465,0.23117872954735105,-0.4817034508619337,1.1396629416090585,113.8439
model,kgw-02,256,10000,119,0.0119,0.00986777040529262,0.014223426975849027,0.22989194116581305,0.22932487080912012,0.23045975156908333,-0.6674181631995594,1.225796469359424,211.3941
model,kgw-02,512,10000,128,0.0128,0.010689568609121099,0.015200789600145693,0.2293617811865315,0.22892923292433268,0.22979476147039518,-0.8849056066906796,1.3403035761320556,362.7784
model,kgw-03,128,10000,32,0.0032,0.0021897959840788597,0.004514468509216141,0.20649766917682896,0.20575440212937565,0.20724242976094648,-1.0699618574492449,1.070511099466014,113.8439
model,kgw-03,256,10000,26,0.0026,0.0016990876810313825,0.00380729786907742,0.20577632015273842,0.20523151920563235,0.20632192723699494,-1.4797088467481982,1.1437874792481475,211.3941
model,kgw-03,512,10000,27,0.0027,0.001780047854647186,0.003925944975436219,0.20495321661929156,0.20453792911952068,0.20536897511253627,-1.9615477395353111,1.2612993508636392,362.7784
model,kgw-04,128,10000,66,0.0066,0.0051080090463297475,0.008389266971384274,0.21831911942581025,0.2175605511829505,0.21907912102728047,-0.7806192458087351,1.1231265259377836,113.8439
model,kgw-04,256,10000,80,0.008,0.006348452063499645,0.009946938884486604,0.21789207929644205,0.2173357415791521,0.2184491899459669,-1.074234124218971,1.233792552793429,211.3941
model,kgw-04,512,10000,88,0.0088,0.007063668692759799,0.01083076133457935,0.21831481697918068,0.21788981013783726,0.21874027347988795,-1.37821330395166,1.3859795546992384,362.7784
model,kgw-05,128,10000,480,0.048,0.043892426755890834,0.05237329622873762,0.26075617578104754,0.2599498460016237,0.26156372291911206,0.2569700233325952,1.2532244095464438,113.8439
model,kgw-05,256,10000,717,0.0717,0.06671876381652612,0.07693236191873049,0.2604547619824773,0.2598632238956589,0.2610469563643661,0.3287816668677062,1.378998267250579,211.3941
model,kgw-05,512,10000,1019,0.1019,0.09603733540555646,0.10799564277904068,0.2607109464069526,0.2602592330613156,0.2611630417245068,0.4214443340286405,1.5466911285966338,362.7784
model,kgw-06,128,10000,218,0.0218,0.019027796594987875,0.024855326417267305,0.24803261307808325,0.24723949799926934,0.24882701027297827,-0.056869455627398716,1.146849564457278,113.8439
model,kgw-06,256,10000,278,0.0278,0.02466594980212806,0.031212926983350934,0.24818809985709156,0.24760590863329862,0.24877098098944414,-0.07668249047020606,1.2351070366492403,211.3941
model,kgw-06,512,10000,369,0.0369,0.033290568235419,0.040782240282516584,0.24910027719401154,0.24865529317510762,0.2495456617211568,-0.06677036077473224,1.3545460130356088,362.7784
model,kgw-07,128,10000,1908,0.1908,0.18313956368787018,0.19864093103691605,0.30104818967024144,0.30020563147147095,0.3018917601760559,1.2498968909117798,1.2709661810815325,113.8439
model,kgw-07,256,10000,3302,0.3302,0.32098312686348457,0.3395158551168721,0.30186272937608005,0.30124392680810014,0.30248207477882405,1.721308017090636,1.4019873052621998,211.3941
model,kgw-07,512,10000,4836,0.4836,0.473761430252223,0.4934481258421398,0.30199069183832333,0.30151826337411797,0.30246343637490536,2.240980981396136,1.5760177808932365,362.7784
model,kgw-08,128,10000,728,0.0728,0.06778282485178633,0.07806763348070009,0.26938729259977917,0.2685725013531718,0.2702032572780247,0.488296505473402,1.2454633021156096,113.8439
model,kgw-08,256,10000,965,0.0965,0.09078081689628888,0.10245538497039477,0.26848242216788454,0.26788509379413267,0.26908038483963354,0.6369279079067275,1.350345143352429,211.3941
model,kgw-08,512,10000,1274,0.1274,0.1209242704864291,0.13409356281469614,0.2669456064638909,0.2664904499388052,0.2674011350075279,0.7613971552905964,1.4753886381341563,362.7784
model,kgw-09,128,10000,644,0.0644,0.059666391605463935,0.06938918119951214,0.2679801025790578,0.26716666380962356,0.26879472194176374,0.4484669634557058,1.2215927785715055,113.8439
model,kgw-09,256,10000,930,0.093,0.0873767546028659,0.09886154069290688,0.2673906225386612,0.2667940668499513,0.2679878155170482,0.5955678431719332,1.3184608639060196,211.3941
model,kgw-09,512,10000,1366,0.1366,0.12992553856856778,0.14348685445365095,0.26772735091174116,0.2672717708613843,0.26818330173262855,0.7952150179735052,1.4381954254593774,362.7784
human,kgw-00,128,5000,132,0.0264,0.022134442977447266,0.031229846679150988,0.25542826412880515,0.25433746949022046,0.25652136815094295,0.13817453493240692,1.1146895256550355,122.728
human,kgw-00,256,1951,53,0.02716555612506407,0.02041360028823554,0.03538398868555447,0.25213958609644405,0.2509109921571351,0.2533711754108529,0.07509521916913107,1.1721165513433418,245.78780112762686
human,kgw-00,512,554,15,0.02707581227436823,0.015231592870932772,0.044264669036257275,0.24844381995395412,0.24681396278771534,0.25007908379919724,-0.08394088641065293,1.286871462587797,486.87906137184115
human,kgw-01,128,5000,33,0.0066,0.004547364184852602,0.009256476822484042,0.23726451991395606,0.23620057233185315,0.23833094845358607,-0.32606895132567415,1.0423042334315697,122.728
human,kgw-01,256,1951,9,0.0046130189646335215,0.0021114699158403505,0.008738808690422215,0.23652644661878666,0.23532424625695364,0.23773183111760623,-0.487528527009853,1.0877373273759412,245.78780112762686
human,kgw-01,512,554,3,0.005415162454873646,0.0011181319314625205,0.015743216376789135,0.2348228420166759,0.2332241611827992,0.23642722245060308,-0.7706456523061179,1.1864102118841058,486.87906137184115
human,kgw-02,128,5000,45,0.009,0.006572021553957884,0.01202436592832012,0.23744703735088976,0.23638280700310554,0.238513746932061,-0.3203299381206836,1.0836158713867046,122.728
human,kgw-02,256,1951,18,0.009226037929267043,0.0054768391219566556,0.014542061184455456,0.23791947148469758,0.23671482709743094,0.23912728316658302,-0.4363467018313356,1.1227226770249903,245.78780112762686
human,kgw-02,512,554,8,0.01444043321299639,0.0062544255830262125,0.028254322789138003,0.23785549306531323,0.23624967678160647,0.23946694372841265,-0.6172678632386598,1.1752522169372057,486.87906137184115
human,kgw-03,128,5000,24,0.0048,0.0030777990425974247,0.007133653196323667,0.21707026921321948,0.21603933076234466,0.21810387939826978,-0.8426137565948127,1.0669513669294062,122.728
human,kgw-03,256,1951,17,0.008713480266529985,0.005083880906150216,0.013914579700473266,0.2167655130418825,0.21559996462658518,0.21793448453259393,-1.204064405754144,1.1546705673785027,245.78780112762686
human,kgw-03,512,554,7,0.01263537906137184,0.005094759882103756,0.025859581855516015,0.2157037937797287,0.2141527866486474,0.21726091173377926,-1.7433090045280146,1.3364104273509378,486.87906137184115
human,kgw-04,128,5000,10,0.002,0.0009594813177485525,0.0036749854808604205,0.21862003780718336,0.21758644155598275,0.21965629115080812,-0.8025899099782042,1.0295621835253896,122.728
human,kgw-04,256,1951,3,0.0015376729882111738,0.0003172174633426881,0.0044870954050821085,0.2185088794908369,0.21733994405875393,0.2196812169169739,-1.1399465127851676,1.06398495614079,245.78780112762686
human,kgw-04,512,554,4,0.007220216606498195,0.001970667610063054,0.018382705936580906,0.21870678564940627,0.21714797393652532,0.22027164358964732,-1.5937573493340513,1.1547757903370928,486.87906137184115
human,kgw-05,128,5000,178,0.0356,0.030636826984497434,0.04111439437151944,0.26078482497881494,0.25968659637973546,0.2618853123667221,0.27480333502677623,1.1119391518888202,122.728
human,kgw-05,256,1951,106,0.05433111225012814,0.04469316345683301,0.06533437540144842,0.26141529658083296,0.2601720287726028,0.2626614476297913,0.4109463818247885,1.1823650627273994,245.78780112762686
human,kgw-05,512,554,40,0.07220216606498195,0.052080144477587326,0.09702352641498088,0.26121209649613875,0.2595549882101034,0.26287433690722917,0.5694313136393784,1.3137237328815323,486.87906137184115
human,kgw-06,128,5000,71,0.0142,0.011106527715637526,0.017878056773561374,0.2448324750668144,0.24375702736752544,0.24591033223493813,-0.1337406105856295,1.0918435521498024,122.728
human,kgw-06,256,1951,19,0.009738595592004101,0.005873165406234984,0.01516641442647851,0.24474070552121652,0.2435243482466207,0.24596014762057272,-0.19373006579681112,1.1634878163048425,245.78780112762686
human,kgw-06,512,554,10,0.018050541516245487,0.008689023539769187,0.0329444347684761,0.24377249926778902,0.24215308333822042,0.24539742232986458,-0.32391509811640745,1.319151363394573,486.87906137184115
human,kgw-07,128,5000,471,0.0942,0.08624200966678684,0.1026353036324815,0.2818052930056711,0.28067990288281547,0.2829327433829511,0.8123446024254161,1.1522134196180716,122.728
human,kgw-07,256,1951,320,0.16401845207585852,0.14784552111325736,0.18120793919023012,0.2819999499512024,0.28072664782747175,0.2832758864861975,1.1554057608560144,1.1839849344711637,245.78780112762686
human,kgw-07,512,554,141,0.2545126353790614,0.21872959559968508,0.29293726496322936,0.28040529268048536,0.27871061005069936,0.2821046947735006,1.5435586141426527,1.323580559631042,486.87906137184115
human,kgw-08,128,5000,311,0.0622,0.05566273035869139,0.06925393362074735,0.2689622580014341,0.2678530881490645,0.27007360940617264,0.4867174492171638,1.168382118986984,122.728
human,kgw-08,256,1951,180,0.09226037929267042,0.0797829720174089,0.10597829842255897,0.26908110407647456,0.26782625199781596,0.27033874672787406,0.695113572124859,1.217414687419178,245.78780112762686
human,kgw-08,512,554,81,0.14620938628158844,0.11783758584285091,0.17841549494926934,0.26821907752538643,0.26654779119985283,0.2698953453169484,0.9380949739170464,1.37340104024808,486.87906137184115
human,kgw-09,128,5000,144,0.0288,0.024341114401727364,0.03381966015050121,0.2585196532168698,0.257424542152858,0.2596170444649485,0.21951550968643868,1.0935538148153843,122.728
human,kgw-09,256,1951,93,0.047667862634546386,0.03864371048800428,0.05808054023718384,0.2576366123637213,0.256399234253547,0.25887691939456015,0.2791392229619495,1.1677659535979146,245.78780112762686
human,kgw-09,512,554,38,0.06859205776173286,0.048993646608136,0.09293509866755034,0.25746021035772676,0.255810917434962,0.2591147160789369,0.3884437935074251,1.3281165745322652,486.87906137184115
