run,scheme,key_id,length,n,exceed,fpr,ci_lo,ci_hi,mean_z,sd_z
smollm2_n10000,kgw,kgw-00,128,10000,623,0.0623,0.057640783579904056,0.06721607508348035,0.38696189676875176,1.2319545531193439
smollm2_n10000,kgw,kgw-00,256,10000,887,0.0887,0.08319799003890213,0.09444288201781215,0.5165550393226833,1.3581430338129892
smollm2_n10000,kgw,kgw-00,512,10000,1249,0.1249,0.11848016568395058,0.13153914779913936,0.6719562393290586,1.4979962318699709
smollm2_n10000,kgw,kgw-01,128,10000,75,0.0075,0.005903663282242353,0.009392366965358603,-0.5414352807721333,1.1011574081030606
smollm2_n10000,kgw,kgw-01,256,10000,70,0.007,0.005460789983071684,0.008835915517580858,-0.7432843591181195,1.177949683696092
smollm2_n10000,kgw,kgw-01,512,10000,80,0.008,0.006348452063499645,0.009946938884486604,-0.9830053844511998,1.2820367094486003
smollm2_n10000,kgw,kgw-02,128,10000,99,0.0099,0.00805330927892533,0.01203989854613168,-0.4817034508619337,1.1396629416090585
smollm2_n10000,kgw,kgw-02,256,10000,119,0.0119,0.00986777040529262,0.014223426975849027,-0.6674181631995594,1.225796469359424
smollm2_n10000,kgw,kgw-02,512,10000,128,0.0128,0.010689568609121099,0.015200789600145693,-0.8849056066906796,1.3403035761320556
smollm2_n10000,kgw,kgw-03,128,10000,32,0.0032,0.0021897959840788597,0.004514468509216141,-1.0699618574492449,1.070511099466014
smollm2_n10000,kgw,kgw-03,256,10000,26,0.0026,0.0016990876810313825,0.00380729786907742,-1.4797088467481982,1.1437874792481475
smollm2_n10000,kgw,kgw-03,512,10000,27,0.0027,0.001780047854647186,0.003925944975436219,-1.9615477395353111,1.2612993508636392
smollm2_n10000,kgw,kgw-04,128,10000,66,0.0066,0.0051080090463297475,0.008389266971384274,-0.7806192458087351,1.1231265259377836
smollm2_n10000,kgw,kgw-04,256,10000,80,0.008,0.006348452063499645,0.009946938884486604,-1.074234124218971,1.233792552793429
smollm2_n10000,kgw,kgw-04,512,10000,88,0.0088,0.007063668692759799,0.01083076133457935,-1.37821330395166,1.3859795546992384
smollm2_n10000,kgw,kgw-05,128,10000,480,0.048,0.043892426755890834,0.05237329622873762,0.2569700233325952,1.2532244095464438
smollm2_n10000,kgw,kgw-05,256,10000,717,0.0717,0.06671876381652612,0.07693236191873049,0.3287816668677062,1.378998267250579
smollm2_n10000,kgw,kgw-05,512,10000,1019,0.1019,0.09603733540555646,0.10799564277904068,0.4214443340286405,1.5466911285966338
smollm2_n10000,kgw,kgw-06,128,10000,218,0.0218,0.019027796594987875,0.024855326417267305,-0.056869455627398716,1.146849564457278
smollm2_n10000,kgw,kgw-06,256,10000,278,0.0278,0.02466594980212806,0.031212926983350934,-0.07668249047020606,1.2351070366492403
smollm2_n10000,kgw,kgw-06,512,10000,369,0.0369,0.033290568235419,0.040782240282516584,-0.06677036077473224,1.3545460130356088
smollm2_n10000,kgw,kgw-07,128,10000,1908,0.1908,0.18313956368787018,0.19864093103691605,1.2498968909117798,1.2709661810815325
